150531 230517.986|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\SONY_VAIO\Desktop\pc2-9.2.3_102\pc2-9.2.3_102\pc2-9.2.3\bin\logs directory.
150531 230517.986|INFO|AWT-EventQueue-0|info|
150531 230517.987|INFO|AWT-EventQueue-0|info|Version 9.2.3 20120910 (Monday, September 10th 2012 16:20 UTC) Java ver 1.7.0_25 build 2565 Windows 8 6.2 (amd64) 
150531 230517.987|INFO|AWT-EventQueue-0|info|Login: team26 (aka team26)
150531 230517.987|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\SONY_VAIO\Desktop\pc2-9.2.3_102\pc2-9.2.3_102\pc2-9.2.3\bin
150531 230517.989|INFO|AWT-EventQueue-0|startLog|Process id is 7524@VAIO
150531 230517.989|INFO|AWT-EventQueue-0|info|Contacting server at 140.123.104.102:50002 as TEAM26 @ site 0
150531 230517.990|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM26 @ site 0
150531 230518.002|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM26 @ site 0 -> SERVER0 @ site 0
150531 230518.005|INFO|Thread-4|run|send(Serializable)
150531 230518.018|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM26 @ site 0 -> SERVER0 @ site 0
150531 230518.018|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
150531 230518.619|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
150531 230518.952|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #10551 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230518.953|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #10551 ) recieveObject
150531 230518.953|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 230518.954|INFO|Thread-5|dumpPacket|    To: TEAM26 @ site 1
150531 230518.955|INFO|Thread-5|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@36ab82ff
150531 230518.955|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
150531 230518.956|INFO|Thread-5|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1433084721947,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2015,MONTH=4,WEEK_OF_YEAR=23,WEEK_OF_MONTH=6,DAY_OF_MONTH=31,DAY_OF_YEAR=151,DAY_OF_WEEK=1,DAY_OF_WEEK_IN_MONTH=5,AM_PM=1,HOUR=3,HOUR_OF_DAY=15,MINUTE=5,SECOND=21,MILLISECOND=947,ZONE_OFFSET=0,DST_OFFSET=0]
150531 230518.956|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@36254f63
150531 230518.957|INFO|Thread-5|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@4b7f085a
150531 230518.957|INFO|Thread-5|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@fd736f
150531 230518.958|INFO|Thread-5|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default--359565710570770681
